song,joy,anger,fear,sadness,surprise
Glass Eyes,0.08054443448781967,0.07793067395687103,0.38056522607803345,0.44834059476852417,0.012619073502719402
The Butcher,0.24363230168819427,0.05651330202817917,0.08707047253847122,0.38924306631088257,0.22354085743427277
Knives Out,0.03373309224843979,0.4874590039253235,0.06465166807174683,0.3982155919075012,0.015940602868795395
Morning Mr. Magpie,0.15550518035888672,0.1918414831161499,0.11446768045425415,0.4996708333492279,0.038514867424964905
The Daily Mail,0.1332884430885315,0.17008621990680695,0.1383422613143921,0.41900455951690674,0.13927850127220154
Staircase,0.1058606430888176,0.15362249314785004,0.2640655040740967,0.38232940435409546,0.09412196278572083
Lurgee,0.0777585357427597,0.07033362984657288,0.264191210269928,0.17096465826034546,0.4167519807815552
Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,0.09692666679620743,0.2918684780597687,0.10853129625320435,0.48219066858291626,0.020482845604419708
Paperbag Writer,0.017687423154711723,0.660312831401825,0.05814998969435692,0.24598807096481323,0.017861666157841682
Maquiladora,0.15425311028957367,0.20918315649032593,0.14989134669303894,0.4768936336040497,0.009778755716979504
Trans-Atlantic Drawl,0.30202755331993103,0.15328288078308105,0.20897379517555237,0.29491689801216125,0.04079887270927429
Videotape,0.10448768734931946,0.19126152992248535,0.3395538032054901,0.34541502594947815,0.01928187534213066
Pyramid Song,0.05702453479170799,0.09349517524242401,0.18395984172821045,0.6497900485992432,0.015730468556284904
Morning Bell,0.08778509497642517,0.17810805141925812,0.07975545525550842,0.617566704750061,0.03678469359874725
The Tourist,0.012322654016315937,0.6385535597801208,0.0781489759683609,0.25940343737602234,0.011571369133889675
Banana Co,0.1870305836200714,0.15841731429100037,0.11948338150978088,0.4618875980377197,0.07318115234375
Cuttooth,0.04645036160945892,0.35069721937179565,0.07833947241306305,0.5190743803977966,0.0054385545663535595
Sit Down. Stand Up,0.22432275116443634,0.2894059419631958,0.2462424337863922,0.2381347417831421,0.0018941202433779836
Jigsaw Falling into Place,0.030124422162771225,0.2031857967376709,0.11472472548484802,0.6477448344230652,0.004220207687467337
Street Spirit (Fade Out),0.15708628296852112,0.23112285137176514,0.04478313773870468,0.5457184314727783,0.02128930762410164
The Bends,0.1022670790553093,0.14269155263900757,0.3599584102630615,0.3797864317893982,0.015296582132577896
In Limbo,0.042001884430646896,0.5614317655563354,0.06554785370826721,0.31120675802230835,0.01981169916689396
Ripcord,0.05465137958526611,0.2626531422138214,0.20976805686950684,0.44993385672569275,0.022993477061390877
Give Up the Ghost,0.010477344505488873,0.10542266070842743,0.10425953567028046,0.7766506671905518,0.0031898103188723326
We Suck Young Blood,0.07349442690610886,0.08295635879039764,0.6346470713615417,0.20388442277908325,0.0050177257508039474
15 Step,0.07147939503192902,0.31072258949279785,0.16705062985420227,0.4427316188812256,0.008015746250748634
Treefingers,0.20930799841880798,0.1898932158946991,0.2216971516609192,0.16312775015830994,0.215973898768425
Weird Fishes/Arpeggi,0.0649046078324318,0.16611185669898987,0.12293435633182526,0.6359696984291077,0.010079499334096909
(Nice Dream),0.4441053569316864,0.03612788766622543,0.15953455865383148,0.33492690324783325,0.025305327028036118
Worrywort,0.38106590509414673,0.1747255176305771,0.08262592554092407,0.340708464384079,0.0208742693066597
Polyethylene (Parts 1 & 2),0.04553723335266113,0.33046478033065796,0.23982033133506775,0.37842094898223877,0.005756748840212822
Lift,0.09108808636665344,0.389667809009552,0.1959143579006195,0.31823617219924927,0.00509357824921608
The Amazing Sounds of Orgy,0.6245761513710022,0.11430742591619492,0.039519429206848145,0.2094627171754837,0.012134328484535217
Pop Is Dead,0.0592208206653595,0.1743530035018921,0.18282315135002136,0.4631820023059845,0.12042105197906494
Lozenge of Love,0.015022233128547668,0.4754832684993744,0.09088390320539474,0.4146960973739624,0.0039144353941082954
Optimistic,0.046979423612356186,0.09523171931505203,0.5475931763648987,0.27274051308631897,0.037455178797245026
Anyone Can Play Guitar,0.025403011590242386,0.26361340284347534,0.05793816223740578,0.6468706130981445,0.006174780428409576
Morning Bell/Amnesiac,0.1507820188999176,0.40011802315711975,0.15284714102745056,0.28450289368629456,0.01174995768815279
A Wolf at the Door,0.07363423705101013,0.387167364358902,0.11947450041770935,0.4127253293991089,0.006998552940785885
You Never Wash Up After Yourself,0.0382283553481102,0.6461547613143921,0.06161140277981758,0.24951976537704468,0.004485718905925751
I Will,0.19438357651233673,0.16075056791305542,0.1826513558626175,0.38228529691696167,0.07992921769618988
India Rubber,0.12107259780168533,0.21310728788375854,0.13430126011371613,0.4982345700263977,0.033284276723861694
Identikit,0.02249663695693016,0.14499586820602417,0.05219385772943497,0.775367021560669,0.0049466355703771114
Life in a Glasshouse,0.07031074166297913,0.18225067853927612,0.05154915899038315,0.6534110307693481,0.04247848689556122
Like Spinning Plates,0.1620972603559494,0.23776552081108093,0.19879508018493652,0.39647072553634644,0.004871365148574114
Dollars and Cents,0.058041319251060486,0.19136971235275269,0.09484241902828217,0.6436461210250854,0.01210042368620634
Last Flowers,0.03311619907617569,0.5281562209129333,0.11537344753742218,0.3211548924446106,0.0021991862449795008
Palo Alto,0.08255204558372498,0.2741512358188629,0.4765699803829193,0.15901561081409454,0.007711182348430157
Desert Island Disk,0.21216066181659698,0.18403899669647217,0.29127565026283264,0.24946290254592896,0.06306176632642746
Sulk,0.08024109154939651,0.2413598597049713,0.0752042755484581,0.5804764628410339,0.022718315944075584
