title,album,sadness
You,Pablo Honey,0.6547671556
Creep,Pablo Honey,0.7308393717
How Do You?,Pablo Honey,0.4006109238
Stop Whispering,Pablo Honey,0.103429243
Thinking About You,Pablo Honey,0.6024826169
Anyone Can Play Guitar,Pablo Honey,0.6468706131
Ripcord,Pablo Honey,0.4499338567
Vegetable,Pablo Honey,0.3789711893
Prove Yourself,Pablo Honey,0.3385746479
I Can't,Pablo Honey,0.3909856379
Lurgee,Pablo Honey,0.1709646583
Blow Out,Pablo Honey,0.626773119
Planet Telex,The Bends,0.2697014809
The Bends,The Bends,0.3797864318
High and Dry,The Bends,0.2944247425
Fake Plastic Trees,The Bends,0.3309890032
Bones,The Bends,0.6045343876
(Nice Dream),The Bends,0.3349269032
Just,The Bends,0.4618832171
Bullet Proof ... I Wish I Was,The Bends,0.560523808
Black Star,The Bends,0.4043614268
Sulk,The Bends,0.5804764628
Street Spirit (Fade Out),The Bends,0.5457184315
Airbag,OK Computer,0.4419720769
Paranoid Android,OK Computer,0.4553266764
Subterranean Homesick Alien,OK Computer,0.3021968901
Exit Music (For A Film),OK Computer,0.2245799601
Let Down,OK Computer,0.694332242
Karma Police,OK Computer,0.7628608942
Fitter Happier,OK Computer,0.3935924172
Electioneering,OK Computer,0.2687209845
Climbing Up the Walls,OK Computer,0.3641095757
No Surprises,OK Computer,0.4250303507
Lucky,OK Computer,0.1637029499
The Tourist,OK Computer,0.2594034374
Everything In Its Right Place,Kid A,0.4121621549
Kid A,Kid A,0.5883533359
The National Anthem,Kid A,0.3942249417
How to Disappear Completely,Kid A,0.4287397861
Treefingers,Kid A,0.1631277502
Optimistic,Kid A,0.2727405131
In Limbo,Kid A,0.311206758
Idioteque,Kid A,0.2301128507
Morning Bell,Kid A,0.6175667048
Motion Picture Soundtrack,Kid A,0.5235614777
Packt Like Sardines in a Crushd Tin Box,Amnesiac,0.1981363595
Pyramid Song,Amnesiac,0.6497900486
Pulk/Pull Revolving Doors,Amnesiac,0.475646317
You and Whose Army?,Amnesiac,0.3262145519
I Might Be Wrong,Amnesiac,0.4587704539
Knives Out,Amnesiac,0.3982155919
Morning Bell/Amnesiac,Amnesiac,0.2845028937
Dollars and Cents,Amnesiac,0.643646121
Hunting Bears,Amnesiac,0.1631277502
Like Spinning Plates,Amnesiac,0.3964707255
Life in a Glasshouse,Amnesiac,0.6534110308
2 + 2 = 5,Hail to the Thief,0.5659937263
Sit Down. Stand Up,Hail to the Thief,0.2381347418
Sail to the Moon,Hail to the Thief,0.4636657834
Backdrifts,Hail to the Thief,0.6246653795
Go to Sleep,Hail to the Thief,0.2944186032
Where I End and You Begin,Hail to the Thief,0.6105518341
We Suck Young Blood,Hail to the Thief,0.2038844228
The Gloaming,Hail to the Thief,0.1481889486
I Will,Hail to the Thief,0.3822852969
A Punchup at a Wedding,Hail to the Thief,0.4917985797
Myxomatosis,Hail to the Thief,0.5922514796
Scatterbrain,Hail to the Thief,0.3069195747
A Wolf at the Door,Hail to the Thief,0.4127253294
15 Step,In Rainbows,0.4427316189
Bodysnatchers,In Rainbows,0.4827654362
Nude,In Rainbows,0.3945374787
Weird Fishes/Arpeggi,In Rainbows,0.6359696984
All I Need,In Rainbows,0.2765040696
Faust Arp,In Rainbows,0.5298734307
Reckoner,In Rainbows,0.4439280629
House of Cards,In Rainbows,0.3501735926
Jigsaw Falling into Place,In Rainbows,0.6477448344
Videotape,In Rainbows,0.3454150259
Bloom,The King of Limbs,0.3371042609
Morning Mr. Magpie,The King of Limbs,0.4996708333
Little by Little,The King of Limbs,0.4016985893
Feral,The King of Limbs,0.1631277502
Lotus Flower,The King of Limbs,0.3820489645
Codex,The King of Limbs,0.5195300579
Give Up the Ghost,The King of Limbs,0.7766506672
Separator,The King of Limbs,0.3678292036
Burn the Witch,A Moon Shaped Pool,0.1938651949
Daydreaming,A Moon Shaped Pool,0.6113141775
Decks Dark,A Moon Shaped Pool,0.3556796312
Desert Island Disk,A Moon Shaped Pool,0.2494629025
Ful Stop,A Moon Shaped Pool,0.549179256
Glass Eyes,A Moon Shaped Pool,0.4483405948
Identikit,A Moon Shaped Pool,0.7753670216
The Numbers,A Moon Shaped Pool,0.3931283355
Present Tense,A Moon Shaped Pool,0.7080346346
Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,A Moon Shaped Pool,0.4821906686
True Love Waits,A Moon Shaped Pool,0.3141504824
